Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
AD Mascarenhas,2012-2013,5,4,1,19,9,6.33,21,90.47,0,0,1,1,0
GJ Maxwell,2014-2017,52,51,5,1186,95,25.78,709,167.27,0,6,8,94,78
DA Miller,2012-2018,69,67,21,1637,101*,35.58,1169,140.03,1,8,1,107,80
EJG Morgan,2017-2017,4,4,0,65,26,16.25,62,104.83,0,0,0,6,2
WA Mota,2008-2009,12,8,2,56,25,9.33,75,74.66,0,0,0,2,0
Mujeeb Ur Rahman,2018-2018,11,2,1,10,10*,10.00,7,142.85,0,0,1,2,0
NS Naik,2016-2016,2,2,0,23,22,11.50,31,74.19,0,0,0,1,0
KK Nair,2018-2018,13,12,0,301,54,25.08,221,136.19,0,2,0,23,13
T Natarajan,2017-2017,6,-,-,-,-,-,-,-,-,-,-,-,-
AM Nayar,2011-2012,14,13,3,106,24,10.60,116,91.37,0,0,2,11,1
MG Neser,2013-2013,1,-,-,-,-,-,-,-,-,-,-,-,-
AR Patel,2014-2018,68,51,15,686,44,19.05,542,126.56,0,0,4,37,32
IK Pathan,2008-2010,42,35,11,603,60,25.12,460,131.08,0,1,1,47,22
NLTC Perera,2015-2015,2,2,0,12,9,6.00,15,80.00,0,0,0,0,1
LA Pomersbach,2008-2013,12,12,5,251,79*,35.85,207,121.25,0,1,0,21,11
RR Powar,2008-2012,22,7,5,56,28*,28.00,51,109.80,0,0,0,6,1
CA Pujara,2014-2014,6,6,1,125,40*,25.00,124,100.80,0,0,0,17,0
KL Rahul,2018-2018,14,14,2,659,95*,54.91,416,158.41,0,6,0,66,32
AS Rajpoot,2018-2018,8,3,0,11,8,3.66,18,61.11,0,0,0,1,0
NJ Rimmington,2011-2011,1,1,1,1,1*,-,1,100.00,0,0,0,0,0
WP Saha,2014-2017,57,49,4,1115,115*,24.77,845,131.95,1,5,1,98,37
P Sahu,2016-2016,5,2,1,19,18*,19.00,13,146.15,0,0,0,1,1
N Saini,2012-2012,10,10,0,140,50,14.00,141,99.29,0,1,0,16,0
Sandeep Sharma,2013-2017,56,13,12,26,7,26.00,35,74.28,0,0,0,1,0
KC Sangakkara,2008-2010,37,34,2,1009,94,31.53,779,129.52,0,8,2,117,18
RR Sarwan,2008-2008,4,4,0,73,31,18.25,75,97.33,0,0,0,6,1
R Sathish,2013-2013,9,8,3,109,27*,21.80,77,141.55,0,0,1,9,5
V Sehwag,2014-2015,25,25,0,554,122,22.16,399,138.84,1,1,1,68,21
I Sharma,2017-2017,6,3,1,8,5*,4.00,12,66.66,0,0,0,1,0
MM Sharma,2016-2018,37,17,6,93,15,8.45,89,104.49,0,0,0,7,2
Shivam Sharma,2014-2015,5,2,1,5,4,5.00,3,166.66,0,0,0,1,0
VRV Singh,2008-2010,19,2,0,4,4,2.00,3,133.33,0,0,1,1,0
RS Sodhi,2010-2010,3,1,1,4,4*,-,2,200.00,0,0,0,1,0
S Sohal,2008-2010,11,10,0,119,43,11.90,101,117.82,0,0,2,9,8
BB Sran,2018-2018,6,4,3,3,2,3.00,7,42.85,0,0,0,0,0
S Sreesanth,2008-2010,28,8,7,32,15*,32.00,42,76.19,0,0,1,6,0
SJ Srivastava,2010-2011,14,4,3,5,3*,5.00,5,100.00,0,0,1,0,0
TM Srivastava,2008-2009,7,3,2,8,7,8.00,11,72.72,0,0,0,0,0
MP Stoinis,2016-2018,19,15,4,262,52,23.81,208,125.96,0,1,1,20,8
Sunny Singh,2011-2011,6,5,1,43,20,10.75,31,138.70,0,0,0,6,1
Swapnil Singh,2016-2017,5,3,0,12,10,4.00,20,60.00,0,0,1,0,0
R Tewatia,2017-2017,3,2,1,19,15*,19.00,11,172.72,0,0,0,4,0
SN Thakur,2015-2015,1,1,1,7,7*,-,6,116.66,0,0,0,1,0
J Theron,2010-2010,7,2,0,2,2,1.00,5,40.00,0,0,1,0,0
MK Tiwary,2018-2018,5,4,1,47,35,15.66,44,106.81,0,0,0,4,1
AJ Tye,2018-2018,14,8,2,32,14,5.33,38,84.21,0,0,2,2,1
PC Valthaty,2011-2013,21,21,1,499,120*,24.95,406,122.90,1,2,1,59,20
M Vijay,2015-2016,25,25,1,704,89,29.33,592,118.91,0,5,1,77,18
M Vohra,2013-2017,45,41,2,957,95,24.53,721,132.73,0,3,2,95,35
Yuvraj Singh,2008-2018,51,48,5,959,58*,22.30,750,127.86,0,3,0,75,51
