player_name,matches_played,innings_batted,not_outs,runs_scored,highest_inns_score,batting_average,balls_faced,batting_strike_rate,hundreds_scored,fifties_scored,duckes_scored,boundary_fours,boundary_sixes
KK Ahmed,1.0,-,-,-,-,-,-,-,-,-,-,-,-
Anand Rajan,2.0,-,-,-,-,-,-,-,-,-,-,-,-
S Anirudha,1.0,1,0,3,3,3.00,5,60.00,0,0,0,0,0
Ankit Sharma,1.0,-,-,-,-,-,-,-,-,-,-,-,-
A Ashish Reddy,22.0,18,7,245,36*,22.27,164,149.39,0,0,0,14,13
Basil Thampi,4.0,2,1,3,3,3.00,6,50.00,0,0,0,0,0
RK Bhui,1.0,1,0,0,0,0.00,5,0.00,0,0,1,0,0
Bipul Sharma,18.0,8,4,83,27*,20.75,51,162.74,0,0,0,3,6
RS Bopara,9.0,8,3,145,41,29.00,120,120.83,0,0,1,6,6
TA Boult,8.0,-,-,-,-,-,-,-,-,-,-,-,-
CR Brathwaite,4.0,4,1,75,43*,25.00,48,156.25,0,0,0,1,8
BCJ Cutting,8.0,7,3,116,39*,29.00,60,193.33,0,0,1,9,9
Q de Kock,3.0,3,0,6,4,2.00,15,40.00,0,0,1,1,0
S Dhawan,85.0,85,12,2518,92*,34.49,2026,124.28,0,19,3,294,49
AJ Finch,13.0,13,2,309,88*,28.09,263,117.49,0,2,0,31,9
SP Goswami,6.0,3,0,52,35,17.33,40,130.00,0,0,0,6,1
AD Hales,6.0,6,0,148,45,24.66,118,125.42,0,0,0,13,6
MC Henriques,42.0,37,10,755,74*,27.96,586,128.83,0,5,2,63,23
JO Holder,1.0,1,0,16,16,16.00,12,133.33,0,0,0,2,1
DJ Hooda,36.0,29,8,309,34,14.71,254,121.65,0,0,0,16,12
CJ Jordan,2.0,1,0,0,0,0.00,1,0.00,0,0,1,0,0
S Kaul,27.0,5,2,3,2,1.00,16,18.75,0,0,1,0,0
B Kumar,71.0,19,8,78,21,7.09,61,127.86,0,0,3,9,2
P Kumar,12.0,4,1,17,12,5.66,25,68.00,0,0,1,1,0
A Mishra,27.0,10,3,93,30,13.28,103,90.29,0,0,3,9,0
Mohammad Nabi,5.0,3,0,20,14,6.66,15,133.33,0,0,0,3,0
Mohammed Siraj,6.0,-,-,-,-,-,-,-,-,-,-,-,-
EJG Morgan,16.0,15,2,310,63,23.84,256,121.09,0,2,1,19,15
Mustafizur Rahman,17.0,-,-,-,-,-,-,-,-,-,-,-,-
A Nehra,14.0,4,4,1,1*,-,1,100.00,0,0,0,0,0
NV Ojha,56.0,39,9,584,79*,19.46,485,120.41,0,1,3,35,29
MK Pandey,15.0,13,2,284,62*,25.81,246,115.44,0,3,1,22,5
Parvez Rasool,5.0,2,2,2,2*,-,2,100.00,0,0,0,0,0
PA Patel,13.0,13,0,294,61,22.61,255,115.29,0,1,0,37,4
IK Pathan,10.0,6,4,55,23*,27.50,54,101.85,0,0,0,5,0
YK Pathan,15.0,13,4,260,45*,28.88,200,130.00,0,0,0,22,11
NLTC Perera,16.0,14,4,233,40,23.30,163,142.94,0,0,0,12,14
KL Rahul,20.0,16,3,308,46,23.69,290,106.20,0,0,0,20,8
Rashid Khan,31.0,10,3,70,34*,10.00,40,175.00,0,0,2,3,7
DB Ravi Teja,2.0,2,1,14,10,14.00,17,82.35,0,0,0,0,0
PA Reddy,7.0,7,0,91,27,13.00,101,90.09,0,0,0,9,0
WP Saha,11.0,10,2,122,35,15.25,102,119.60,0,0,1,17,1
BB Samantray,8.0,7,2,123,55,24.60,111,110.81,0,1,1,13,2
DJG Sammy,20.0,18,5,282,60,21.69,223,126.45,0,1,2,15,18
Sandeep Sharma,12.0,3,1,0,0*,0.00,4,0.00,0,0,2,0,0
KC Sangakkara,9.0,9,0,120,28,13.33,136,88.23,0,0,0,13,0
V Shankar,4.0,4,2,101,63*,50.50,75,134.66,0,1,0,12,1
Shakib Al Hasan,17.0,13,2,239,35,21.72,197,121.31,0,0,0,26,5
I Sharma,23.0,2,2,0,0*,-,0,-,0,0,0,0,0
KV Sharma,46.0,27,13,267,39*,19.07,230,116.08,0,0,1,13,12
BB Sran,15.0,4,4,4,2*,-,4,100.00,0,0,0,0,0
B Stanlake,4.0,1,1,5,5*,-,2,250.00,0,0,0,1,0
DW Steyn,37.0,15,9,95,19*,15.83,75,126.66,0,0,2,9,2
AP Tare,3.0,2,0,8,8,4.00,15,53.33,0,0,1,1,0
X Thalaivan Sargunam,1.0,1,0,10,10,10.00,17,58.82,0,0,0,0,0
Y Venugopal Rao,7.0,5,2,71,27,23.66,63,112.69,0,0,0,8,0
GH Vihari,22.0,21,3,280,46,15.55,313,89.45,0,0,0,23,1
DA Warner,59.0,59,10,2579,126,52.63,1746,147.70,1,26,2,255,102
CL White,13.0,13,1,209,52,17.41,191,109.42,0,1,2,18,7
KS Williamson,32.0,32,5,1146,89,42.44,834,137.41,0,11,1,98,39
Yuvraj Singh,22.0,21,3,488,70*,27.11,356,137.07,0,2,1,52,21
VR Aaron,24.0,5,4,41,17*,41.00,37,110.81,0,0,0,2,2
SA Abbott,2.0,2,0,15,14,7.50,13,115.38,0,0,0,1,1
Abdur Razzak,1.0,1,1,0,0*,-,2,0.00,0,0,0,0,0
MA Agarwal,29.0,24,1,433,64*,18.82,340,127.35,0,1,1,41,22
AN Ahmed,7.0,4,3,14,5*,14.00,6,233.33,0,0,0,3,0
B Akhil,14.0,10,5,63,27*,12.60,46,136.95,0,0,2,5,4
MM Ali,5.0,4,0,77,65,19.25,46,167.39,0,1,0,4,6
CJ Anderson,3.0,3,0,17,15,5.66,22,77.27,0,0,1,0,1
KP Appanna,14.0,3,2,2,1*,2.00,4,50.00,0,0,0,0,0
S Aravind,38.0,12,8,59,14*,14.75,57,103.50,0,0,2,7,0
KB Arun Karthik,16.0,7,2,48,19*,9.60,46,104.34,0,0,1,4,1
J Arunkumar,3.0,3,0,23,22,7.66,23,100.00,0,0,1,5,0
M Ashwin,2.0,1,0,1,1,1.00,2,50.00,0,0,0,0,0
Avesh Khan,1.0,-,-,-,-,-,-,-,-,-,-,-,-
S Badree,7.0,5,0,13,8,2.60,23,56.52,0,0,2,0,0
RR Bhatkal,1.0,1,0,0,0,0.00,2,0.00,0,0,1,0,0
STR Binny,22.0,13,4,141,21,15.66,115,122.60,0,0,0,11,7
R Bishnoi,3.0,3,0,19,18,6.33,17,111.76,0,0,1,1,2
MS Bisla,2.0,2,0,37,20,18.50,30,123.33,0,0,0,6,1
MV Boucher,27.0,21,8,388,50*,29.84,303,128.05,0,1,0,32,13
YS Chahal,69.0,11,8,15,4*,5.00,32,46.87,0,0,1,0,0
S Chanderpaul,3.0,3,0,25,16,8.33,31,80.64,0,0,0,4,0
B Chipli,3.0,3,0,20,10,6.66,28,71.42,0,0,0,3,0
A Choudhary,5.0,3,2,25,15*,25.00,20,125.00,0,0,0,1,1
DT Christian,2.0,2,0,6,4,3.00,15,40.00,0,0,0,0,0
C de Grandhomme,9.0,8,3,131,40,26.20,84,155.95,0,0,0,4,10
Q de Kock,8.0,8,0,201,53,25.12,162,124.07,0,1,0,20,8
AB de Villiers,113.0,103,24,3282,133*,41.54,2047,160.33,2,25,6,275,174
TM Dilshan,25.0,24,3,587,76*,27.95,534,109.92,0,5,3,78,8
AB Dinda,11.0,3,2,4,2*,4.00,12,33.33,0,0,1,0,0
ND Doshi,1.0,-,-,-,-,-,-,-,-,-,-,-,-
R Dravid,43.0,37,3,898,75*,26.41,731,122.84,0,4,3,97,17
D du Preez,2.0,1,0,10,10,10.00,13,76.92,0,0,0,0,0
CH Gayle,85.0,84,11,3163,175*,43.32,2071,152.72,5,19,5,248,239
SP Goswami,7.0,6,0,143,52,23.83,155,92.25,0,1,0,17,1
TM Head,10.0,10,3,205,75*,29.28,148,138.51,0,1,1,12,8
MC Henriques,10.0,9,5,165,44,41.25,125,132.00,0,0,0,20,3
Iqbal Abdulla,15.0,5,3,62,33*,31.00,52,119.23,0,0,1,8,1
KM Jadhav,17.0,16,4,309,69,25.75,218,141.74,0,1,0,27,12
W Jaffer,8.0,8,0,130,50,16.25,121,107.43,0,1,1,14,3
SB Jakati,1.0,-,-,-,-,-,-,-,-,-,-,-,-
CJ Jordan,9.0,1,0,3,3,3.00,4,75.00,0,0,0,0,0
SB Joshi,4.0,2,0,6,3,3.00,14,42.85,0,0,0,0,0
M Kaif,9.0,5,1,55,15,13.75,49,112.24,0,0,0,6,0
JH Kallis,42.0,42,6,1132,89*,31.44,1009,112.19,0,10,4,127,21
KD Karthik,16.0,11,0,141,28,12.81,117,120.51,0,0,0,15,4
M Kartik,11.0,2,1,2,2*,2.00,3,66.66,0,0,1,0,0
AA Kazi,1.0,-,-,-,-,-,-,-,-,-,-,-,-
SN Khan,25.0,18,7,228,45*,20.72,143,159.44,0,0,1,26,7
Z Khan,44.0,15,7,67,21,8.37,84,79.76,0,0,4,7,0
K Khejroliya,3.0,-,-,-,-,-,-,-,-,-,-,-,-
V Kohli,163.0,155,26,4948,113,38.35,3784,130.76,4,34,6,434,177
P Kumar,38.0,24,7,181,34,10.64,152,119.07,0,0,4,11,12
A Kumble,42.0,17,14,35,8,11.66,47,74.46,0,0,0,3,0
CK Langeveldt,3.0,1,0,8,8,8.00,8,100.00,0,0,0,0,1
BB McCullum,6.0,6,0,127,43,21.16,88,144.31,0,0,1,16,6
AB McDonald,5.0,4,1,47,30,15.66,37,127.02,0,0,1,6,2
NJ Maddinson,3.0,3,0,20,12,6.66,21,95.23,0,0,0,4,0
Mandeep Singh,40.0,32,5,597,54*,22.11,463,128.94,0,2,4,54,21
TS Mills,5.0,3,0,8,6,2.66,11,72.72,0,0,1,0,1
AF Milne,5.0,3,1,7,5,3.50,12,58.33,0,0,0,0,0
Misbah-ul-Haq,8.0,8,1,117,47*,16.71,81,144.44,0,0,2,10,6
A Mithun,16.0,8,3,34,11,6.80,26,130.76,0,0,1,4,1
Mohammed Siraj,11.0,4,2,25,14,12.50,22,113.63,0,0,0,2,1
EJG Morgan,6.0,4,1,35,17,11.66,30,116.66,0,0,0,2,1
JA Morkel,7.0,5,2,45,16,15.00,41,109.75,0,0,0,1,3
A Mukund,1.0,1,0,19,19,19.00,21,90.47,0,0,0,1,0
M Muralitharan,21.0,2,0,6,6,3.00,9,66.66,0,0,1,0,0
KK Nair,2.0,2,0,9,9,4.50,12,75.00,0,0,1,0,0
DP Nannes,2.0,-,-,-,-,-,-,-,-,-,-,-,-
P Negi,14.0,12,2,147,35,14.70,116,126.72,0,0,1,10,7
R Ninan,2.0,1,0,3,3,3.00,6,50.00,0,0,0,0,0
AA Noffke,1.0,1,0,9,9,9.00,10,90.00,0,0,0,1,0
MK Pandey,18.0,17,3,417,114*,29.78,344,121.22,1,0,2,44,11
Pankaj Singh,5.0,3,1,2,1*,1.00,4,50.00,0,0,1,0,0
P Parameswaran,3.0,1,1,0,0*,-,1,0.00,0,0,0,0,0
Parvez Rasool,4.0,1,0,10,10,10.00,9,111.11,0,0,0,1,0
HV Patel,36.0,14,5,47,10,5.22,34,138.23,0,0,3,2,3
PA Patel,18.0,18,3,358,57*,23.86,294,121.76,0,2,0,50,5
AUK Pathan,8.0,7,2,39,14,7.80,23,169.56,0,0,2,5,2
DT Patil,2.0,2,0,13,9,6.50,13,100.00,0,0,0,1,0
KP Pietersen,13.0,13,3,329,66*,32.90,242,135.95,0,2,2,31,10
LA Pomersbach,5.0,4,0,51,29,12.75,39,130.76,0,0,0,4,2
CA Pujara,14.0,10,0,143,51,14.30,152,94.07,0,1,1,19,1
KL Rahul,19.0,14,3,417,68*,37.90,287,145.29,0,4,1,41,16
R Rampaul,12.0,7,2,51,23*,10.20,50,102.00,0,0,3,3,2
S Rana,9.0,7,4,73,19*,24.33,65,112.30,0,0,0,7,1
KW Richardson,4.0,1,1,1,1*,-,1,100.00,0,0,0,0,0
RR Rossouw,5.0,5,0,53,24,10.60,51,103.92,0,0,1,3,3
JD Ryder,5.0,5,0,56,32,11.20,49,114.28,0,0,2,9,0
Sachin Baby,14.0,9,2,134,33,19.14,94,142.55,0,0,1,11,5
DJG Sammy,2.0,2,0,13,7,6.50,18,72.22,0,0,0,0,0
T Shamsi,4.0,-,-,-,-,-,-,-,-,-,-,-,-
KV Sharma,1.0,1,0,1,1,1.00,3,33.33,0,0,0,0,0
RP Singh,11.0,-,-,-,-,-,-,-,-,-,-,-,-
TG Southee,8.0,4,2,52,36*,26.00,46,113.04,0,0,0,5,1
S Sriram,1.0,1,0,27,27,27.00,29,93.10,0,0,0,3,0
B Stanlake,2.0,-,-,-,-,-,-,-,-,-,-,-,-
MA Starc,27.0,12,5,96,29,13.71,98,97.95,0,0,0,10,0
DW Steyn,28.0,8,2,15,8,2.50,25,60.00,0,0,3,2,0
J Syed Mohammad,11.0,5,3,29,13*,14.50,26,111.53,0,0,0,4,0
YV Takawale,5.0,5,0,104,45,20.80,91,114.28,0,0,2,17,1
LRPL Taylor,22.0,22,5,517,81*,30.41,364,142.03,0,2,1,35,31
SS Tiwary,40.0,30,10,487,52,24.35,464,104.95,0,1,0,26,17
JD Unadkat,13.0,2,2,2,1*,-,2,100.00,0,0,0,0,0
RV Uthappa,31.0,27,4,549,68*,23.86,388,141.49,0,4,1,39,30
RE van der Merwe,11.0,9,0,123,35,13.66,100,123.00,0,0,0,8,8
JJ van der Wath,3.0,3,1,18,14*,9.00,16,112.50,0,0,1,1,1
DL Vettori,22.0,10,5,54,20,10.80,54,100.00,0,0,1,4,2
R Vinay Kumar,64.0,29,11,237,26*,13.16,204,116.17,0,0,2,16,7
Vishnu Vinod,3.0,3,0,19,9,6.33,26,73.07,0,0,0,1,1
M Vohra,4.0,4,0,55,45,13.75,47,117.02,0,0,1,2,4
Washington Sundar,7.0,6,3,65,35,21.66,38,171.05,0,0,0,5,4
SR Watson,24.0,22,3,250,36,13.15,212,117.92,0,0,1,20,13
CL White,15.0,13,4,162,31*,18.00,135,120.00,0,0,1,11,7
D Wiese,15.0,8,4,127,47*,31.75,90,141.11,0,0,0,12,4
CR Woakes,5.0,4,2,17,11,8.50,19,89.47,0,0,0,1,1
UT Yadav,14.0,5,1,3,1*,0.75,11,27.27,0,0,2,0,0
Yuvraj Singh,14.0,14,3,376,83,34.18,278,135.25,0,3,1,22,28
VH Zol,3.0,2,0,29,16,14.50,26,111.53,0,0,0,3,1
MA Agarwal,3.0,3,0,26,20,8.66,27,96.29,0,0,1,3,0
Ankit Sharma,4.0,2,1,28,25,28.00,18,155.55,0,0,0,2,1
M Ashwin,10.0,1,0,0,0,0.00,1,0.00,0,0,1,0,0
R Ashwin,14.0,6,4,41,29,20.50,38,107.89,0,0,1,3,1
GJ Bailey,6.0,5,1,84,34,21.00,98,85.71,0,0,1,9,2
R Bhatia,13.0,8,6,50,21,25.00,37,135.13,0,0,0,1,3
SM Boland,2.0,-,-,-,-,-,-,-,-,-,-,-,-
DL Chahar,5.0,1,0,14,14,14.00,6,233.33,0,0,0,0,2
RD Chahar,3.0,1,1,3,3*,-,2,150.00,0,0,0,0,0
DT Christian,13.0,9,4,79,17*,15.80,49,161.22,0,0,0,5,5
MS Dhoni,30.0,27,9,574,64*,31.88,460,124.78,0,2,0,33,30
AB Dinda,12.0,1,0,7,7,7.00,7,100.00,0,0,0,1,0
F du Plessis,8.0,7,0,214,69,30.57,169,126.62,0,2,0,18,9
LH Ferguson,4.0,1,1,1,1*,-,1,100.00,0,0,0,0,0
PSP Handscomb,2.0,1,0,6,6,6.00,12,50.00,0,0,0,0,0
Imran Tahir,12.0,1,1,0,0*,-,2,0.00,0,0,0,0,0
UT Khawaja,6.0,6,0,127,30,21.16,100,127.00,0,0,0,14,3
MR Marsh,3.0,1,0,7,7,7.00,11,63.63,0,0,0,0,0
JA Morkel,2.0,1,0,16,16,16.00,9,177.77,0,0,0,0,2
IK Pathan,4.0,3,0,11,7,3.66,13,84.61,0,0,0,0,0
NLTC Perera,12.0,10,3,150,34,21.42,93,161.29,0,0,0,7,11
KP Pietersen,4.0,4,2,73,37,36.50,61,119.67,0,0,0,4,3
AM Rahane,30.0,30,4,862,74,33.15,702,122.79,0,8,4,89,18
I Sharma,4.0,1,1,0,0*,-,0,-,0,0,0,0,0
RP Singh,4.0,-,-,-,-,-,-,-,-,-,-,-,-
SPD Smith,23.0,22,4,742,101,41.22,563,131.79,1,3,0,65,20
BA Stokes,12.0,11,1,316,103*,31.60,221,142.98,1,1,0,22,15
SN Thakur,12.0,3,0,0,0,0.00,3,0.00,0,0,3,0,0
MK Tiwary,15.0,13,3,324,60,32.40,236,137.28,0,2,1,31,11
SS Tiwary,10.0,8,1,170,57,24.28,141,120.56,0,2,0,17,4
RA Tripathi,14.0,14,0,391,93,27.92,267,146.44,0,2,1,43,17
JD Unadkat,12.0,2,2,2,2*,-,5,40.00,0,0,0,0,0
Washington Sundar,11.0,5,4,9,5*,9.00,12,75.00,0,0,1,0,0
A Zampa,11.0,2,0,5,5,2.50,8,62.50,0,0,1,1,0
S Ladda,3.0,-,-,-,-,-,-,-,-,-,-,-,-
AB Agarkar,27.0,17,9,160,39,20.00,132,121.21,0,0,0,12,5
Anureet Singh,3.0,-,-,-,-,-,-,-,-,-,-,-,-
Azhar Mahmood,1.0,1,0,6,6,6.00,7,85.71,0,0,0,1,0
L Balaji,35.0,5,4,13,9*,13.00,12,108.33,0,0,1,1,0
SB Bangar,1.0,1,0,2,2,2.00,9,22.22,0,0,0,0,0
R Bhatia,46.0,22,10,159,26*,13.25,130,122.30,0,0,0,15,3
MS Bisla,27.0,27,1,543,92,20.88,494,109.91,0,3,2,60,16
SE Bond,8.0,1,0,1,1,1.00,2,50.00,0,0,0,0,0
J Botha,4.0,3,0,31,17,10.33,15,206.66,0,0,0,5,1
MV Boucher,4.0,3,2,6,5,6.00,6,100.00,0,0,0,0,0
TA Boult,6.0,1,1,5,5*,-,8,62.50,0,0,0,0,0
DM Bravo,1.0,1,1,6,6*,-,5,120.00,0,0,0,1,0
KC Cariappa,1.0,-,-,-,-,-,-,-,-,-,-,-,-
PP Chawla,57.0,24,9,141,22,9.40,132,106.81,0,0,5,14,4
A Chopra,7.0,6,0,53,24,8.83,71,74.64,0,0,0,7,0
NM Coulter-Nile,8.0,3,0,14,6,4.66,12,116.66,0,0,0,0,2
PJ Cummins,4.0,1,0,0,0,0.00,2,0.00,0,0,1,0,0
TK Curran,5.0,4,1,23,18,7.66,28,82.14,0,0,0,3,0
DB Das,31.0,22,8,304,35*,21.71,261,116.47,0,0,1,23,16
C de Grandhomme,12.0,9,1,126,36,15.75,92,136.95,0,0,3,10,6
M de Lange,3.0,-,-,-,-,-,-,-,-,-,-,-,-
AB Dinda,29.0,6,2,4,2,1.00,8,50.00,0,0,2,0,0
P Dogra,1.0,1,0,5,5,5.00,8,62.50,0,0,0,0,0
G Gambhir,108.0,108,12,3035,93,31.61,2442,124.28,0,27,10,352,46
SC Ganguly,40.0,38,2,1031,91,28.63,933,110.50,0,7,3,104,36
RS Gavaskar,2.0,1,0,2,2,2.00,8,25.00,0,0,0,0,0
CH Gayle,16.0,16,1,463,88,30.86,327,141.59,0,2,1,45,26
AN Ghosh,2.0,2,0,7,7,3.50,8,87.50,0,0,1,1,0
SP Goswami,5.0,4,0,29,22,7.25,29,100.00,0,0,1,5,0
BJ Haddin,1.0,1,0,18,18,18.00,11,163.63,0,0,0,2,1
Harpreet Singh,1.0,-,-,-,-,-,-,-,-,-,-,-,-
JW Hastings,2.0,-,-,-,-,-,-,-,-,-,-,-,-
MC Henriques,4.0,3,1,38,30*,19.00,40,95.00,0,0,0,2,1
BJ Hodge,19.0,19,3,476,73,29.75,417,114.14,0,4,2,47,10
GB Hogg,11.0,3,2,7,5,7.00,6,116.66,0,0,0,0,0
JO Holder,4.0,4,0,22,13,5.50,19,115.78,0,0,1,2,1
DJ Hussey,23.0,23,4,511,71,26.89,404,126.48,0,2,3,31,28
Iqbal Abdulla,33.0,8,8,26,12*,-,32,81.25,0,0,0,1,0
SP Jackson,4.0,3,1,38,16,19.00,31,122.58,0,0,0,5,0
IR Jaggi,2.0,2,1,33,28,33.00,39,84.61,0,0,0,3,0
MG Johnson,6.0,2,2,16,12*,-,11,145.45,0,0,0,2,0
JH Kallis,56.0,54,5,1295,80*,26.42,1213,106.76,0,7,5,128,23
KD Karthik,16.0,16,6,498,52,49.80,337,147.77,0,2,0,49,16
M Kartik,26.0,7,2,73,21,14.60,69,105.79,0,0,0,5,0
Kuldeep Yadav,31.0,5,2,32,16,10.66,46,69.56,0,0,0,3,0
CK Langeveldt,4.0,1,0,0,0,0.00,1,0.00,0,0,1,0,0
B Lee,25.0,9,3,68,25,11.33,41,165.85,0,0,0,3,6
CA Lynn,27.0,27,3,869,93*,36.20,611,142.22,0,6,1,86,41
BB McCullum,35.0,35,3,882,158*,27.56,731,120.65,1,4,2,92,32
R McLaren,2.0,2,0,3,2,1.50,6,50.00,0,0,0,0,0
Mandeep Singh,3.0,2,0,4,4,2.00,11,36.36,0,0,1,1,0
Mashrafe Mortaza,1.0,1,1,2,2*,-,2,100.00,0,0,0,0,0
AD Mathews,15.0,12,4,249,65*,31.12,197,126.39,0,1,1,20,8
BAW Mendis,7.0,2,1,1,1*,1.00,2,50.00,0,0,1,0,0
Mohammad Hafeez,8.0,8,1,64,16,9.14,83,77.10,0,0,0,7,2
Mohammed Shami,3.0,1,0,5,5,5.00,10,50.00,0,0,0,0,0
EJG Morgan,26.0,22,2,444,66,22.20,357,124.36,0,2,1,45,16
M Morkel,29.0,5,5,9,4*,-,7,128.57,0,0,0,0,0
C Munro,4.0,3,0,30,16,10.00,30,100.00,0,0,0,3,0
SP Narine,98.0,48,12,628,75,17.44,372,168.81,0,3,4,76,35
S Narwal,2.0,1,0,23,23,23.00,15,153.33,0,0,0,4,0
MK Pandey,55.0,52,12,1270,94,31.75,1015,125.12,0,6,3,102,38
MB Parmar,1.0,-,-,-,-,-,-,-,-,-,-,-,-
YK Pathan,106.0,91,31,1893,72,31.55,1369,138.27,0,7,7,150,85
RT Ponting,4.0,4,0,39,20,9.75,53,73.58,0,0,2,2,1
M Prasidh Krishna,7.0,2,2,1,1*,-,5,20.00,0,0,0,0,0
CA Pujara,10.0,6,2,122,45*,30.50,115,106.08,0,0,0,14,3
AS Rajpoot,9.0,1,0,4,4,4.00,7,57.14,0,0,0,1,0
N Rana,15.0,15,2,304,59,23.38,232,131.03,0,1,0,26,14
AD Russell,43.0,35,6,832,88*,28.68,462,180.08,0,4,1,62,65
WP Saha,33.0,24,13,298,59*,27.09,213,139.90,0,1,1,24,12
Salman Butt,7.0,7,0,193,73,27.57,161,119.87,0,1,0,30,2
PJ Sangwan,3.0,1,1,4,4*,-,2,200.00,0,0,0,1,0
SS Sarkar,2.0,-,-,-,-,-,-,-,-,-,-,-,-
R Sathish,4.0,3,0,24,10,8.00,24,100.00,0,0,0,1,1
JPR Scantlebury-Searles,4.0,2,1,8,6*,8.00,6,133.33,0,0,0,0,1
SMSM Senanayake,8.0,4,3,10,7*,10.00,17,58.82,0,0,0,0,0
OA Shah,5.0,5,3,115,58*,57.50,95,121.05,0,1,0,7,5
SS Shaikh,2.0,1,0,6,6,6.00,7,85.71,0,0,0,1,0
Shakib Al Hasan,43.0,32,9,498,66*,21.65,382,130.36,0,2,2,44,15
I Sharma,31.0,11,7,33,9,8.25,41,80.48,0,0,1,2,1
Shivam Mavi,9.0,4,1,13,7,4.33,15,86.66,0,0,1,1,0
Shoaib Akhtar,3.0,1,0,2,2,2.00,7,28.57,0,0,0,0,0
Shubman Gill,13.0,11,5,203,57*,33.83,139,146.04,0,1,0,22,5
LR Shukla,42.0,31,7,374,48*,15.58,312,119.87,0,0,2,31,14
RK Singh,4.0,4,0,29,16,7.25,31,93.54,0,0,0,4,0
T Taibu,3.0,3,0,31,15,10.33,26,119.23,0,0,0,3,0
RN ten Doeschate,29.0,22,8,326,70*,23.28,235,138.72,0,1,3,26,15
MK Tiwary,54.0,49,15,1002,75*,29.47,897,111.70,0,4,5,82,23
Umar Gul,6.0,4,1,39,24,13.00,19,205.26,0,0,0,1,5
JD Unadkat,12.0,-,-,-,-,-,-,-,-,-,-,-,-
RV Uthappa,74.0,73,2,2157,87,30.38,1545,139.61,0,15,3,227,75
MN van Wyk,5.0,5,2,167,74,55.66,132,126.51,0,1,1,19,1
R Vinay Kumar,11.0,5,3,10,6*,5.00,9,111.11,0,0,1,1,0
CR Woakes,13.0,7,3,46,18,11.50,47,97.87,0,0,0,4,1
SA Yadav,54.0,41,14,608,60,22.51,461,131.88,0,1,1,54,21
UT Yadav,47.0,11,8,50,24*,16.66,36,138.88,0,0,1,5,2
Yashpal Singh,8.0,4,0,47,20,11.75,66,71.21,0,0,0,5,0
AN Ahmed,10.0,2,2,22,18*,-,20,110.00,0,0,0,1,1
CJ Anderson,16.0,15,3,379,95*,31.58,278,136.33,0,3,0,32,21
STR Binny,1.0,1,0,8,8,8.00,5,160.00,0,0,0,1,0
AC Blizzard,7.0,7,0,120,51,17.14,90,133.33,0,1,1,21,2
DJ Bravo,30.0,25,4,457,70*,21.76,390,117.17,0,3,0,38,17
JJ Bumrah,61.0,10,7,35,16*,11.66,37,94.59,0,0,2,2,1
JC Buttler,24.0,24,3,527,77,25.09,361,145.98,0,1,1,50,26
YS Chahal,1.0,-,-,-,-,-,-,-,-,-,-,-,-
UBT Chand,7.0,6,0,102,58,17.00,87,117.24,0,1,1,13,2
SD Chitnis,3.0,2,0,18,15,9.00,10,180.00,0,0,0,1,1
NM Coulter-Nile,1.0,1,0,9,9,9.00,6,150.00,0,0,0,0,1
BCJ Cutting,9.0,6,2,96,37,24.00,58,165.51,0,0,0,5,8
A Dananjaya,1.0,1,1,4,4*,-,5,80.00,0,0,0,0,0
M de Lange,2.0,1,0,1,1,1.00,2,50.00,0,0,0,0,0
R Dhawan,6.0,4,1,21,14,7.00,21,100.00,0,0,1,3,0
S Dhawan,15.0,14,0,231,56,16.50,215,107.44,0,2,1,26,3
JP Duminy,26.0,23,8,565,62,37.66,496,113.91,0,5,1,42,17
BR Dunk,3.0,3,0,40,20,13.33,35,114.28,0,0,0,7,0
CRD Fernando,10.0,2,2,4,2*,-,3,133.33,0,0,0,0,0
AJ Finch,3.0,3,1,23,10*,11.50,33,69.69,0,0,0,4,0
JEC Franklin,20.0,16,5,327,79,29.72,301,108.63,0,1,0,25,8
CM Gautam,9.0,9,2,121,33,17.28,111,109.00,0,0,0,13,5
HH Gibbs,3.0,3,1,81,66*,40.50,88,92.04,0,1,0,8,2
S Gopal,6.0,3,1,14,11,7.00,27,51.85,0,0,0,1,0
MJ Guptill,3.0,3,0,57,48,19.00,55,103.63,0,0,0,3,3
Harbhajan Singh,136.0,84,35,799,64,16.30,561,142.42,0,1,13,76,41
MEK Hussey,9.0,9,0,209,56,23.22,182,114.83,0,2,0,17,7
Ishan Kishan,14.0,12,0,275,62,22.91,184,149.45,0,2,3,22,17
DJ Jacobs,7.0,7,0,92,32,13.14,98,93.87,0,0,1,10,4
ST Jayasuriya,30.0,30,2,768,114*,27.42,532,144.36,1,4,2,84,39
MG Johnson,22.0,9,5,59,13*,14.75,53,111.32,0,0,0,3,3
KD Karthik,36.0,33,2,748,86,24.12,624,119.87,0,2,3,84,16
Z Khan,26.0,12,9,40,23*,13.33,31,129.03,0,0,1,3,2
MA Khote,4.0,3,1,24,9,12.00,22,109.09,0,0,0,2,1
DS Kulkarni,33.0,8,5,23,10*,7.66,42,54.76,0,0,0,2,0
P Kumar,3.0,1,0,1,1,1.00,2,50.00,0,0,0,0,0
RE Levi,6.0,6,0,83,50,13.83,73,113.69,0,1,2,10,4
E Lewis,13.0,13,0,382,65,29.38,276,138.40,0,2,2,32,24
