player_name,matches_played,innings_bowled,overs_bowled,maidens_earned,runs_conceded,wickets_taken,best_innings_bowling,bowling_average,economy_rate,bowling_strike_rate,four_wkts_in_an_inns,five_wkts_in_an_inns,catches_taken,stumpings_made
UBT Chand,1.0,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0
A Chandila,12.0,12,39.0,0,242,11,4/13,22.00,6.20,21.2,1,0,7.0,0.0
AA Chavan,13.0,13,41.2,0,326,8,2/23,40.75,7.88,31.0,0,0,3.0,0.0
SD Chitnis,1.0,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0
P Chopra,1.0,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0
KK Cooper,25.0,25,96.0,1,757,33,4/26,22.93,7.88,17.4,1,0,12.0,0.0
BCJ Cutting,1.0,1,4.0,0,31,1,1/31,31.00,7.75,24.0,0,0,1.0,0.0
P Dogra,9.0,-,-,-,-,-,-,-,-,-,-,-,2.0,0.0
AP Dole,3.0,3,11.0,0,112,5,2/36,22.40,10.18,13.2,0,0,2.0,0.0
ND Doshi,3.0,3,5.2,0,62,1,1/15,62.00,11.62,32.0,0,0,0.0,0.0
R Dravid,46.0,-,-,-,-,-,-,-,-,-,-,-,10.0,0.0
JP Faulkner,42.0,42,151.1,3,1272,47,5/16,27.06,8.41,19.2,0,2,9.0,0.0
FY Fazal,12.0,2,2.0,0,20,0,-,-,10.00,-,0,0,6.0,0.0
AJ Finch,1.0,1,1.1,0,5,0,-,-,4.28,-,0,0,0.0,0.0
S Gopal,11.0,10,31.0,0,236,11,4/16,21.45,7.61,16.9,1,0,3.0,0.0
SP Goswami,11.0,-,-,-,-,-,-,-,-,-,-,-,4.0,4.0
K Gowtham,15.0,15,40.0,0,312,11,2/12,28.36,7.80,21.8,0,0,10.0,0.0
Harmeet Singh,1.0,1,4.0,0,34,1,1/34,34.00,8.50,24.0,0,0,0.0,0.0
SM Harwood,3.0,3,10.0,0,73,3,2/25,24.33,7.30,20.0,0,0,2.0,0.0
T Henderson,2.0,2,6.0,0,40,1,1/30,40.00,6.66,36.0,0,0,0.0,0.0
BJ Hodge,33.0,3,3.0,0,24,1,1/13,24.00,8.00,18.0,0,0,15.0,0.0
GB Hogg,10.0,10,39.2,0,284,10,2/31,28.40,7.22,23.6,0,0,1.0,0.0
DJ Hooda,14.0,7,15.1,0,129,1,1/35,129.00,8.50,91.0,0,0,1.0,0.0
Iqbal Abdulla,1.0,1,2.0,0,17,0,-,-,8.50,-,0,0,1.0,0.0
RA Jadeja,27.0,12,25.3,0,172,6,3/15,28.66,6.74,25.5,0,0,11.0,0.0
AA Jhunjhunwala,13.0,5,6.1,0,69,0,-,-,11.18,-,0,0,4.0,0.0
M Kaif,16.0,-,-,-,-,-,-,-,-,-,-,-,8.0,0.0
Kamran Akmal,6.0,-,-,-,-,-,-,-,-,-,-,-,5.0,4.0
Kamran Khan,8.0,8,23.4,0,177,9,3/18,19.66,7.47,15.7,0,0,4.0,0.0
H Klaasen,4.0,-,-,-,-,-,-,-,-,-,-,-,3.0,4.0
T Kohli,2.0,-,-,-,-,-,-,-,-,-,-,-,1.0,0.0
DS Kulkarni,27.0,27,81.5,2,686,23,2/9,29.82,8.38,21.3,0,0,8.0,0.0
B Laughlin,7.0,7,20.5,0,211,9,2/15,23.44,10.12,13.8,0,0,1.0,0.0
DS Lehmann,2.0,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0
MK Lomror,2.0,2,3.0,0,27,0,-,-,9.00,-,0,0,0.0,0.0
MJ Lumb,11.0,-,-,-,-,-,-,-,-,-,-,-,4.0,0.0
VS Malik,4.0,4,13.0,0,88,3,2/14,29.33,6.76,26.0,0,0,1.0,0.0
DR Martyn,1.0,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0
AD Mascarenhas,8.0,8,31.2,1,226,12,3/20,18.83,7.21,15.6,0,0,1.0,0.0
AL Menaria,29.0,12,18.2,0,144,3,2/20,48.00,7.85,36.6,0,0,5.0,0.0
M Morkel,4.0,4,14.0,0,106,0,-,-,7.57,-,0,0,2.0,0.0
CH Morris,11.0,11,42.0,0,311,13,4/23,23.92,7.40,19.3,1,0,3.0,0.0
KK Nair,25.0,-,-,-,-,-,-,-,-,-,-,-,7.0,0.0
S Narwal,5.0,5,15.4,0,185,5,3/36,37.00,11.80,18.8,0,0,1.0,0.0
AM Nayar,5.0,-,-,-,-,-,-,-,-,-,-,-,1.0,0.0
NV Ojha,22.0,-,-,-,-,-,-,-,-,-,-,-,6.0,6.0
JDP Oram,2.0,2,4.0,0,45,1,1/32,45.00,11.25,24.0,0,0,0.0,0.0
Pankaj Singh,12.0,12,35.0,0,322,7,2/18,46.00,9.20,30.0,0,0,1.0,0.0
MM Patel,30.0,30,102.5,2,779,33,3/17,23.60,7.57,18.6,0,0,7.0,0.0
NK Patel,9.0,-,-,-,-,-,-,-,-,-,-,-,6.0,0.0
YK Pathan,43.0,35,97.1,0,719,20,3/22,35.95,7.39,29.1,0,0,14.0,0.0
AG Paunikar,5.0,-,-,-,-,-,-,-,-,-,-,-,1.0,0.0
MDKJ Perera,2.0,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0
RJ Quiney,7.0,-,-,-,-,-,-,-,-,-,-,-,1.0,0.0
AM Rahane,86.0,-,-,-,-,-,-,-,-,-,-,-,35.0,0.0
AS Raut,22.0,5,5.0,0,44,0,-,-,8.80,-,0,0,9.0,0.0
M Rawat,16.0,-,-,-,-,-,-,-,-,-,-,-,15.0,1.0
KW Richardson,7.0,7,27.0,0,206,9,2/18,22.88,7.62,18.0,0,0,3.0,0.0
Sachin Baby,4.0,-,-,-,-,-,-,-,-,-,-,-,2.0,0.0
D Salunkhe,6.0,5,8.0,0,78,1,1/21,78.00,9.75,48.0,0,0,2.0,0.0
SV Samson,53.0,-,-,-,-,-,-,-,-,-,-,-,32.0,2.0
OA Shah,15.0,-,-,-,-,-,-,-,-,-,-,-,5.0,0.0
PR Shah,2.0,-,-,-,-,-,-,-,-,-,-,-,0.0,1.0
DJM Short,7.0,2,3.0,0,19,1,1/10,19.00,6.33,18.0,0,0,2.0,0.0
R Shukla,3.0,3,8.0,0,79,3,2/28,26.33,9.87,16.0,0,0,2.0,0.0
A Singh,23.0,23,78.5,1,620,28,4/19,22.14,7.86,16.8,1,0,1.0,0.0
GC Smith,25.0,-,-,-,-,-,-,-,-,-,-,-,6.0,0.0
SPD Smith,24.0,-,-,-,-,-,-,-,-,-,-,-,16.0,0.0
IS Sodhi,6.0,6,23.0,0,135,5,1/14,27.00,5.86,27.6,0,0,0.0,0.0
Sohail Tanvir,11.0,11,41.1,0,266,22,6/14,12.09,6.46,11.2,1,1,4.0,0.0
TG Southee,10.0,10,38.0,1,323,6,2/32,53.83,8.50,38.0,0,0,6.0,0.0
BB Sran,1.0,1,3.0,0,35,0,-,-,11.66,-,0,0,0.0,0.0
S Sreesanth,7.0,7,21.4,2,163,5,2/20,32.60,7.52,26.0,0,0,0.0,0.0
BA Stokes,13.0,12,37.0,1,303,8,3/15,37.87,8.18,27.7,0,0,6.0,0.0
SW Tait,21.0,21,78.5,1,640,23,3/13,27.82,8.11,20.5,0,0,6.0,0.0
PV Tambe,26.0,26,94.0,0,710,23,4/20,30.86,7.55,24.5,1,0,3.0,0.0
LRPL Taylor,12.0,1,1.0,0,11,0,-,-,11.00,-,0,0,4.0,0.0
R Tewatia,4.0,4,12.0,0,90,3,1/17,30.00,7.50,24.0,0,0,0.0,0.0
J Theron,1.0,1,4.0,0,40,1,1/40,40.00,10.00,24.0,0,0,0.0,0.0
RA Tripathi,12.0,-,-,-,-,-,-,-,-,-,-,-,4.0,0.0
SK Trivedi,76.0,75,251.0,2,1904,65,4/25,29.29,7.58,23.1,1,0,14.0,0.0
JD Unadkat,15.0,15,50.2,0,486,11,3/46,44.18,9.65,27.4,0,0,6.0,0.0
A Uniyal,2.0,2,6.0,0,66,2,2/41,33.00,11.00,18.0,0,0,0.0,0.0
PC Valthaty,2.0,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0
AC Voges,9.0,7,9.0,0,76,0,-,-,8.44,-,0,0,1.0,0.0
SB Wagh,1.0,1,1.0,0,16,1,1/16,16.00,16.00,6.0,0,0,0.0,0.0
SK Warne,55.0,54,199.0,1,1447,57,4/21,25.38,7.27,20.9,1,0,16.0,0.0
SR Watson,78.0,70,226.5,3,1701,61,3/10,27.88,7.49,22.3,0,0,21.0,0.0
DH Yagnik,25.0,-,-,-,-,-,-,-,-,-,-,-,12.0,5.0
Younis Khan,1.0,-,-,-,-,-,-,-,-,-,-,-,1.0,0.0
B Akhil,1.0,1,2.0,0,22,0,-,-,11.00,-,0,0,0.0,0.0
Y Gnaneswara Rao,2.0,1,1.0,0,7,0,-,-,7.00,-,0,0,2.0,0.0
RV Gomez,11.0,8,15.0,1,124,5,2/14,24.80,8.26,18.0,0,0,1.0,0.0
BJ Hodge,14.0,4,11.0,0,77,7,4/13,11.00,7.00,9.4,1,0,1.0,0.0
RA Jadeja,14.0,14,42.0,0,305,8,2/25,38.12,7.26,31.5,0,0,1.0,0.0
KM Jadhav,6.0,-,-,-,-,-,-,-,-,-,-,-,2.0,0.0
DPMD Jayawardene,13.0,-,-,-,-,-,-,-,-,-,-,-,6.0,0.0
M Klinger,4.0,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0
VVS Laxman,3.0,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0
BB McCullum,13.0,-,-,-,-,-,-,-,-,-,-,-,2.0,0.0
M Muralitharan,5.0,5,19.0,0,141,2,1/18,70.50,7.42,57.0,0,0,1.0,0.0
P Parameswaran,5.0,5,15.4,0,137,4,2/20,34.25,8.74,23.5,0,0,0.0,0.0
PA Patel,14.0,-,-,-,-,-,-,-,-,-,-,-,8.0,1.0
NLTC Perera,4.0,4,14.0,0,111,2,1/30,55.50,7.92,42.0,0,0,0.0,0.0
RR Powar,5.0,5,12.0,0,112,2,1/20,56.00,9.33,36.0,0,0,0.0,0.0
P Prasanth,1.0,1,1.0,0,18,0,-,-,18.00,-,0,0,0.0,0.0
OA Shah,3.0,-,-,-,-,-,-,-,-,-,-,-,2.0,0.0
RP Singh,14.0,14,50.0,0,345,13,4/25,26.53,6.90,23.0,1,0,6.0,0.0
S Sreesanth,9.0,9,31.5,2,206,7,2/10,29.42,6.47,27.2,0,0,1.0,0.0
R Vinay Kumar,13.0,13,44.4,0,335,12,3/25,27.91,7.50,22.3,0,0,4.0,0.0
P Amarnath,6.0,6,22.0,0,236,7,2/29,33.71,10.72,18.8,0,0,2.0,0.0
S Anirudha,19.0,-,-,-,-,-,-,-,-,-,-,-,11.0,0.0
KB Arun Karthik,1.0,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0
R Ashwin,97.0,94,337.4,4,2180,90,3/16,24.22,6.45,22.5,0,0,20.0,0.0
KM Asif,2.0,2,6.0,0,75,3,2/43,25.00,12.50,12.0,0,0,0.0,0.0
S Badree,4.0,4,14.0,0,97,2,1/19,48.50,6.92,42.0,0,0,0.0,0.0
S Badrinath,95.0,-,-,-,-,-,-,-,-,-,-,-,16.0,0.0
GJ Bailey,4.0,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0
L Balaji,29.0,29,93.4,0,809,31,5/24,26.09,8.63,18.1,1,1,5.0,0.0
SW Billings,10.0,-,-,-,-,-,-,-,-,-,-,-,5.0,0.0
DE Bollinger,27.0,27,96.0,3,693,37,4/13,18.72,7.21,15.5,1,0,8.0,0.0
DJ Bravo,77.0,74,246.0,1,2075,93,4/42,22.31,8.43,15.8,1,0,48.0,0.0
DL Chahar,12.0,12,38.1,1,278,10,3/15,27.80,7.28,22.9,0,0,1.0,0.0
MS Dhoni,145.0,-,-,-,-,-,-,-,-,-,-,-,69.0,26.0
F du Plessis,51.0,1,1.0,0,16,0,-,-,16.00,-,0,0,26.0,0.0
SP Fleming,10.0,-,-,-,-,-,-,-,-,-,-,-,2.0,0.0
A Flintoff,3.0,3,11.0,0,105,2,1/11,52.50,9.54,33.0,0,0,4.0,0.0
C Ganapathy,1.0,1,1.0,0,13,0,-,-,13.00,-,0,0,0.0,0.0
MS Gony,26.0,26,85.0,3,707,23,3/34,30.73,8.31,22.1,0,0,5.0,0.0
Harbhajan Singh,13.0,12,31.5,0,270,7,2/22,38.57,8.48,27.2,0,0,4.0,0.0
JW Hastings,1.0,1,3.0,0,29,1,1/29,29.00,9.66,18.0,0,0,0.0,0.0
ML Hayden,32.0,-,-,-,-,-,-,-,-,-,-,-,11.0,0.0
BW Hilfenhaus,17.0,17,62.0,2,479,22,3/27,21.77,7.72,16.9,0,0,1.0,0.0
JO Holder,6.0,6,20.0,0,168,2,2/20,84.00,8.40,60.0,0,0,3.0,0.0
DJ Hussey,5.0,1,2.5,0,38,2,2/38,19.00,13.41,8.5,0,0,1.0,0.0
MEK Hussey,50.0,-,-,-,-,-,-,-,-,-,-,-,23.0,0.0
Imran Tahir,6.0,6,20.4,0,188,6,2/34,31.33,9.09,20.6,0,0,2.0,0.0
RA Jadeja,86.0,74,216.1,0,1672,66,5/16,25.33,7.73,19.6,3,1,36.0,0.0
KM Jadhav,1.0,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0
SB Jakati,50.0,48,152.1,1,1180,45,4/22,26.22,7.75,20.2,2,0,17.0,0.0
Joginder Sharma,16.0,15,42.4,0,419,12,2/27,34.91,9.82,21.3,0,0,5.0,0.0
S Randiv,8.0,8,29.0,0,223,6,2/24,37.16,7.68,29.0,0,0,2.0,0.0
CK Kapugedera,5.0,3,2.5,0,49,0,-,-,17.29,-,0,0,4.0,0.0
JM Kemp,5.0,5,7.2,0,54,3,3/12,18.00,7.36,14.6,0,0,1.0,0.0
KMDN Kulasekara,6.0,5,17.0,0,120,5,2/10,24.00,7.05,20.4,0,0,4.0,0.0
B Laughlin,2.0,2,7.0,0,71,1,1/25,71.00,10.14,42.0,0,0,0.0,0.0
BB McCullum,28.0,-,-,-,-,-,-,-,-,-,-,-,8.0,0.0
VY Mahesh,5.0,4,9.2,0,81,3,2/21,27.00,8.67,18.6,0,0,1.0,0.0
M Manhas,12.0,-,-,-,-,-,-,-,-,-,-,-,3.0,0.0
RG More,2.0,2,5.5,0,59,1,1/31,59.00,10.11,35.0,0,0,1.0,0.0
JA Morkel,78.0,75,254.1,3,2058,76,4/32,27.07,8.09,20.0,1,0,15.0,0.0
CH Morris,16.0,16,50.0,0,401,15,3/40,26.73,8.02,20.0,0,0,5.0,0.0
A Mukund,2.0,-,-,-,-,-,-,-,-,-,-,-,3.0,0.0
M Muralitharan,40.0,40,156.0,1,994,40,3/11,24.85,6.37,23.4,0,0,11.0,0.0
DP Nannes,5.0,5,19.5,0,158,4,2/17,39.50,7.96,29.7,0,0,3.0,0.0
P Negi,12.0,12,37.0,0,327,6,2/25,54.50,8.83,37.0,0,0,5.0,0.0
A Nehra,20.0,20,77.0,0,591,30,4/10,19.70,7.67,15.4,1,0,3.0,0.0
L Ngidi,7.0,7,26.0,2,156,11,4/10,14.18,6.00,14.1,1,0,1.0,0.0
M Ntini,9.0,9,35.0,2,242,7,4/21,34.57,6.91,30.0,1,0,1.0,0.0
JDP Oram,15.0,11,31.3,0,282,8,3/32,35.25,8.95,23.6,0,0,8.0,0.0
IC Pandey,23.0,22,73.0,4,541,17,2/23,31.82,7.41,25.7,0,0,6.0,0.0
PA Patel,26.0,-,-,-,-,-,-,-,-,-,-,-,9.0,2.0
NLTC Perera,1.0,1,1.0,0,19,0,-,-,19.00,-,0,0,0.0,0.0
SK Raina,147.0,58,128.2,0,928,24,2/0,38.66,7.23,32.0,0,0,84.0,0.0
AS Rajpoot,2.0,2,4.0,0,35,1,1/25,35.00,8.75,24.0,0,0,0.0,0.0
AT Rayudu,16.0,-,-,-,-,-,-,-,-,-,-,-,2.0,0.0
WP Saha,14.0,-,-,-,-,-,-,-,-,-,-,-,2.0,0.0
V Shankar,1.0,1,1.0,0,19,0,-,-,19.00,-,0,0,0.0,0.0
KV Sharma,6.0,5,9.3,0,89,4,2/13,22.25,9.36,14.2,0,0,3.0,0.0
MM Sharma,47.0,47,161.3,0,1259,57,4/14,22.08,7.79,17.0,1,0,10.0,0.0
DR Shorey,1.0,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0
DR Smith,32.0,6,12.0,0,112,5,1/11,22.40,9.33,14.4,0,0,14.0,0.0
TG Southee,5.0,5,19.0,0,166,4,1/30,41.50,8.73,28.5,0,0,0.0,0.0
SB Styris,2.0,1,1.0,0,13,0,-,-,13.00,-,0,0,1.0,0.0
SN Thakur,13.0,13,46.4,1,431,16,2/18,26.93,9.23,17.5,0,0,4.0,0.0
T Thushara,6.0,6,22.3,0,161,8,2/16,20.12,7.15,16.8,0,0,3.0,0.0
S Tyagi,14.0,14,34.5,0,295,6,2/18,49.16,8.46,34.8,0,0,3.0,0.0
S Vidyut,9.0,1,2.0,0,22,1,1/22,22.00,11.00,12.0,0,0,1.0,0.0
M Vijay,65.0,-,-,-,-,-,-,-,-,-,-,-,32.0,0.0
SR Watson,15.0,11,28.0,0,251,6,2/29,41.83,8.96,28.0,0,0,3.0,0.0
DJ Willey,3.0,3,10.0,0,95,2,1/24,47.50,9.50,30.0,0,0,2.0,0.0
MA Wood,1.0,1,4.0,0,49,0,-,-,12.25,-,0,0,1.0,0.0
