BenefitName,BusinessYear,CoinsInnTier1,CoinsInnTier2,CoinsOutofNet,CopayInnTier1,CopayInnTier2,CopayOutofNet,EHBVarReason,Exclusions,Explanation,ImportDate,IsCovered,IsEHB,IsExclFromInnMOOP,IsExclFromOonMOOP,IsStateMandate,IsSubjToDedTier1,IsSubjToDedTier2,IssuerId,IssuerId2,LimitQty,LimitUnit,MinimumStay,PlanId,QuantLimitOnSvc,RowNumber,SourceName,StandardComponentId,StateCode,StateCode2,VersionNum
Major Dental Care - Adult,2014,50%,,50%,No Charge,,No Charge,Above EHB,,"Combined annual benefit maximum of $1000 per year for adults, See policy for additional limitations",2014-03-19 07:06:49,Covered,,No,No,,Yes,Yes,21989,21989,1000.0,Dollars per Year,,21989AK0020001-00,Yes,115,HIOS,21989AK0020001,AK,AK,6
Accidental Dental,2014,,,,,,,,,,2014-03-19 07:06:49,,,,,,,,21989,21989,,,,21989AK0020001-00,,118,HIOS,21989AK0020001,AK,AK,6
Routine Dental Services (Adult),2014,0%,,0%,No Charge,,No Charge,Above EHB,,Combined annual benefit maximum of $1000 per year for adults. See policy for additional limitations,2014-03-19 07:06:49,Covered,,No,No,,No,No,21989,21989,1000.0,Dollars per Year,,21989AK0020001-01,Yes,68,HIOS,21989AK0020001,AK,AK,6
Dental Check-Up for Children,2014,0%,,0%,No Charge,,No Charge,Substantially Equal,,See policy for additional limitations,2014-03-19 07:06:49,Covered,Yes,No,No,,No,No,21989,21989,1.0,Visit(s) per 6 Months,,21989AK0020001-01,Yes,104,HIOS,21989AK0020001,AK,AK,6
Basic Dental Care - Child,2014,30%,,30%,No Charge,,No Charge,Substantially Equal,,See policy for additional limitations,2014-03-19 07:06:49,Covered,Yes,No,No,,Yes,Yes,21989,21989,,,,21989AK0020001-01,,110,HIOS,21989AK0020001,AK,AK,6
Orthodontia - Child,2014,50%,,50%,No Charge,,No Charge,Additional EHB Benefit,,"24 month waiting period, See policy for additional limitations",2014-03-19 07:06:49,Covered,,No,No,,Yes,Yes,21989,21989,,,,21989AK0020001-01,,111,HIOS,21989AK0020001,AK,AK,6
Major Dental Care - Child,2014,50%,,50%,No Charge,,No Charge,Substantially Equal,,See policy for additional limitations,2014-03-19 07:06:49,Covered,Yes,No,No,,Yes,Yes,21989,21989,,,,21989AK0020001-01,,112,HIOS,21989AK0020001,AK,AK,6
Basic Dental Care - Adult,2014,30%,,30%,No Charge,,No Charge,Above EHB,,"Combined annual benefit maximum of $1000 per year for adults, See policy for additional limitations",2014-03-19 07:06:49,Covered,,No,No,,Yes,Yes,21989,21989,1000.0,Dollars per Year,,21989AK0020001-01,Yes,113,HIOS,21989AK0020001,AK,AK,6
Orthodontia - Adult,2014,,,,,,,,,,2014-03-19 07:06:49,,,,,,,,21989,21989,,,,21989AK0020001-01,,114,HIOS,21989AK0020001,AK,AK,6
Major Dental Care - Adult,2014,50%,,50%,No Charge,,No Charge,Above EHB,,"Combined annual benefit maximum of $1000 per year for adults, See policy for additional limitations",2014-03-19 07:06:49,Covered,,No,No,,Yes,Yes,21989,21989,1000.0,Dollars per Year,,21989AK0020001-01,Yes,115,HIOS,21989AK0020001,AK,AK,6
Accidental Dental,2014,,,,,,,,,,2014-03-19 07:06:49,,,,,,,,21989,21989,,,,21989AK0020001-01,,118,HIOS,21989AK0020001,AK,AK,6
Routine Dental Services (Adult),2014,20%,,20%,No Charge,,No Charge,Above EHB,,Combined annual benefit maximum of $1000 per year for adults. See policy for additional limitations,2014-03-19 07:06:49,Covered,,No,No,,No,No,21989,21989,1000.0,Dollars per Year,,21989AK0020002-00,Yes,68,HIOS,21989AK0020002,AK,AK,6
Dental Check-Up for Children,2014,20%,,20%,No Charge,,No Charge,Substantially Equal,,See policy for additional limitations,2014-03-19 07:06:49,Covered,Yes,No,No,,No,No,21989,21989,1.0,Visit(s) per 6 Months,,21989AK0020002-00,Yes,104,HIOS,21989AK0020002,AK,AK,6
Basic Dental Care - Child,2014,40%,,40%,No Charge,,No Charge,Substantially Equal,,See policy for additional limitations,2014-03-19 07:06:49,Covered,Yes,No,No,,Yes,Yes,21989,21989,,,,21989AK0020002-00,,110,HIOS,21989AK0020002,AK,AK,6
Orthodontia - Child,2014,50%,,50%,No Charge,,No Charge,Additional EHB Benefit,,"24 month waiting period, See policy for additional limitations",2014-03-19 07:06:49,Covered,,No,No,,Yes,Yes,21989,21989,,,,21989AK0020002-00,,111,HIOS,21989AK0020002,AK,AK,6
Major Dental Care - Child,2014,50%,,50%,No Charge,,No Charge,Substantially Equal,,See policy for additional limitations,2014-03-19 07:06:49,Covered,Yes,No,No,,Yes,Yes,21989,21989,,,,21989AK0020002-00,,112,HIOS,21989AK0020002,AK,AK,6
Basic Dental Care - Adult,2014,40%,,40%,No Charge,,No Charge,Above EHB,,"Combined annual benefit maximum of $1000 per year for adults, See policy for additional limitations",2014-03-19 07:06:49,Covered,,No,No,,Yes,Yes,21989,21989,1000.0,Dollars per Year,,21989AK0020002-00,Yes,113,HIOS,21989AK0020002,AK,AK,6
Orthodontia - Adult,2014,,,,,,,,,,2014-03-19 07:06:49,,,,,,,,21989,21989,,,,21989AK0020002-00,,114,HIOS,21989AK0020002,AK,AK,6
Major Dental Care - Adult,2014,50%,,50%,No Charge,,No Charge,Above EHB,,"Combined annual benefit maximum of $1000 per year for adults, See policy for additional limitations",2014-03-19 07:06:49,Covered,,No,No,,Yes,Yes,21989,21989,1000.0,Dollars per Year,,21989AK0020002-00,Yes,115,HIOS,21989AK0020002,AK,AK,6
Accidental Dental,2014,,,,,,,,,,2014-03-19 07:06:49,,,,,,,,21989,21989,,,,21989AK0020002-00,,118,HIOS,21989AK0020002,AK,AK,6
Routine Dental Services (Adult),2014,20%,,20%,No Charge,,No Charge,Above EHB,,Combined annual benefit maximum of $1000 per year for adults. See policy for additional limitations,2014-03-19 07:06:49,Covered,,No,No,,No,No,21989,21989,1000.0,Dollars per Year,,21989AK0020002-01,Yes,68,HIOS,21989AK0020002,AK,AK,6
Dental Check-Up for Children,2014,20%,,20%,No Charge,,No Charge,Substantially Equal,,See policy for additional limitations,2014-03-19 07:06:49,Covered,Yes,No,No,,No,No,21989,21989,1.0,Visit(s) per 6 Months,,21989AK0020002-01,Yes,104,HIOS,21989AK0020002,AK,AK,6
Basic Dental Care - Child,2014,40%,,40%,No Charge,,No Charge,Substantially Equal,,See policy for additional limitations,2014-03-19 07:06:49,Covered,Yes,No,No,,Yes,Yes,21989,21989,,,,21989AK0020002-01,,110,HIOS,21989AK0020002,AK,AK,6
Orthodontia - Child,2014,50%,,50%,No Charge,,No Charge,Additional EHB Benefit,,"24 month waiting period, See policy for additional limitations",2014-03-19 07:06:49,Covered,,No,No,,Yes,Yes,21989,21989,,,,21989AK0020002-01,,111,HIOS,21989AK0020002,AK,AK,6
Major Dental Care - Child,2014,50%,,50%,No Charge,,No Charge,Substantially Equal,,See policy for additional limitations,2014-03-19 07:06:49,Covered,Yes,No,No,,Yes,Yes,21989,21989,,,,21989AK0020002-01,,112,HIOS,21989AK0020002,AK,AK,6
Basic Dental Care - Adult,2014,40%,,40%,No Charge,,No Charge,Above EHB,,"Combined annual benefit maximum of $1000 per year for adults, See policy for additional limitations",2014-03-19 07:06:49,Covered,,No,No,,Yes,Yes,21989,21989,1000.0,Dollars per Year,,21989AK0020002-01,Yes,113,HIOS,21989AK0020002,AK,AK,6
Orthodontia - Adult,2014,,,,,,,,,,2014-03-19 07:06:49,,,,,,,,21989,21989,,,,21989AK0020002-01,,114,HIOS,21989AK0020002,AK,AK,6
Major Dental Care - Adult,2014,50%,,50%,No Charge,,No Charge,Above EHB,,"Combined annual benefit maximum of $1000 per year for adults, See policy for additional limitations",2014-03-19 07:06:49,Covered,,No,No,,Yes,Yes,21989,21989,1000.0,Dollars per Year,,21989AK0020002-01,Yes,115,HIOS,21989AK0020002,AK,AK,6
Accidental Dental,2014,,,,,,,,,,2014-03-19 07:06:49,,,,,,,,21989,21989,,,,21989AK0020002-01,,118,HIOS,21989AK0020002,AK,AK,6
Major Dental Care - Adult,2014,50% Coinsurance after deductible,,50% Coinsurance after deductible,No Charge,,No Charge,Above EHB,,Family Plan,2013-08-01 12:48:00,Covered,,Yes,Yes,,Yes,Yes,38536,38536,,,,38536AK0010002-00,,115,HIOS,38536AK0010002,AK,AK,2
Accidental Dental,2014,50% Coinsurance after deductible,,50% Coinsurance after deductible,No Charge,,No Charge,Above EHB,Damage resulting from chewing or biting food or other objects,Family Plan,2013-08-01 12:48:00,Covered,,Yes,Yes,,Yes,Yes,38536,38536,,,,38536AK0010002-00,,118,HIOS,38536AK0010002,AK,AK,2
Non-Medically Necessary Orthodontia,2014,50%,,50%,No Charge,,No Charge,Above EHB,,"Optional Buy-Up. Family Plan, 24 month waiting period",2013-08-01 12:48:00,Covered,,Yes,Yes,,No,No,38536,38536,,,,38536AK0010002-00,,119,HIOS,38536AK0010002,AK,AK,2
Routine Dental Services (Adult),2014,100% Coinsurance after deductible,,100% Coinsurance after deductible,No Charge,,No Charge,Above EHB,,Family Plan,2013-08-01 12:48:00,Covered,,Yes,Yes,,Yes,Yes,38536,38536,2.0,Visit(s) per Year,,38536AK0010003-00,Yes,68,HIOS,38536AK0010003,AK,AK,2
Dental Check-Up for Children,2014,100% Coinsurance after deductible,,100% Coinsurance after deductible,No Charge,,No Charge,Above EHB,,,2013-08-01 12:48:00,Covered,Yes,No,Yes,,Yes,Yes,38536,38536,2.0,Visit(s) per Year,,38536AK0010003-00,Yes,104,HIOS,38536AK0010003,AK,AK,2
Basic Dental Care - Child,2014,80% Coinsurance after deductible,,80% Coinsurance after deductible,No Charge,,No Charge,,,,2013-08-01 12:48:00,Covered,Yes,No,Yes,,Yes,Yes,38536,38536,,,,38536AK0010003-00,,110,HIOS,38536AK0010003,AK,AK,2
Orthodontia - Child,2014,50%,,50%,No Charge,,No Charge,Additional EHB Benefit,,"Medical Necessity , 24 month waiting period",2013-08-01 12:48:00,Covered,,No,Yes,,No,No,38536,38536,,,,38536AK0010003-00,,111,HIOS,38536AK0010003,AK,AK,2
Major Dental Care - Child,2014,50% Coinsurance after deductible,,50% Coinsurance after deductible,No Charge,,No Charge,,,,2013-08-01 12:48:00,Covered,Yes,No,Yes,,Yes,Yes,38536,38536,,,,38536AK0010003-00,,112,HIOS,38536AK0010003,AK,AK,2
"Inpatient Hospital Services (e.g., Hospital Stay)",2014,No Charge,,50%,$0 Copay per Day,,$0 Copay per Day,,,,2014-04-18 11:49:29,Covered,Yes,No,No,,Yes,Yes,73836,73836,,,,73836AK0620002-01,,77,HIOS,73836AK0620002,AK,AK,6
Inpatient Physician and Surgical Services,2014,No Charge,,50%,No Charge,,No Charge,,,,2014-04-18 11:49:29,Covered,Yes,No,No,,Yes,Yes,73836,73836,,,,73836AK0620002-01,,78,HIOS,73836AK0620002,AK,AK,6
Bariatric Surgery,2014,,,,,,,,,,2014-04-18 11:49:29,,,,,,,,73836,73836,,,,73836AK0620002-01,,79,HIOS,73836AK0620002,AK,AK,6
Cosmetic Surgery,2014,,,,,,,,,,2014-04-18 11:49:29,,,,,,,,73836,73836,,,,73836AK0620002-01,,80,HIOS,73836AK0620002,AK,AK,6
Skilled Nursing Facility,2014,No Charge,,50%,$0 Copay per Day,,$0 Copay per Day,,,,2014-04-18 11:49:29,Covered,Yes,No,No,,Yes,Yes,73836,73836,60.0,Days per Year,,73836AK0620002-01,Yes,81,HIOS,73836AK0620002,AK,AK,6
Prenatal and Postnatal Care,2014,No Charge,,50%,No Charge,,No Charge,,,,2014-04-18 11:49:29,Covered,Yes,No,No,,Yes,Yes,73836,73836,,,,73836AK0620002-01,,82,HIOS,73836AK0620002,AK,AK,6
Delivery and All Inpatient Services for Maternity Care,2014,No Charge,,50%,No Charge,,No Charge,,,,2014-04-18 11:49:29,Covered,Yes,No,No,Yes,Yes,Yes,73836,73836,,,,73836AK0620002-01,,83,HIOS,73836AK0620002,AK,AK,6
Mental/Behavioral Health Outpatient Services,2014,No Charge,,50%,No Charge,,No Charge,,,,2014-04-18 11:49:29,Covered,Yes,No,No,,Yes,Yes,73836,73836,,,,73836AK0620002-01,,84,HIOS,73836AK0620002,AK,AK,6
Mental/Behavioral Health Inpatient Services,2014,No Charge,,50%,No Charge,,No Charge,,,,2014-04-18 11:49:29,Covered,Yes,No,No,,Yes,Yes,73836,73836,,,,73836AK0620002-01,,85,HIOS,73836AK0620002,AK,AK,6
Substance Abuse Disorder Outpatient Services,2014,No Charge,,50%,No Charge,,No Charge,,,,2014-04-18 11:49:29,Covered,Yes,No,No,,Yes,Yes,73836,73836,,,,73836AK0620002-01,,86,HIOS,73836AK0620002,AK,AK,6
Non-Medically Necessary Orthodontia - Child,2014,50%,,50%,No Charge,,No Charge,Above EHB,,,2013-09-02 11:39:25,Covered,,Yes,Yes,,Yes,Yes,42507,42507,1500.0,Dollars per Lifetime,,42507AK0030001-01,Yes,119,HIOS,42507AK0030001,AK,AK,3
Routine Dental Services (Adult),2014,No Charge,,No Charge,No Charge,,No Charge,Above EHB,,,2013-09-02 11:39:25,Covered,,Yes,Yes,,No,No,42507,42507,,,,42507AK0040001-00,,68,HIOS,42507AK0040001,AK,AK,3
Dental Check-Up for Children,2014,No Charge,,No Charge,No Charge,,No Charge,,,,2013-09-02 11:39:25,Covered,Yes,No,No,,No,No,42507,42507,1.0,Visit(s) per 6 Months,,42507AK0040001-00,Yes,104,HIOS,42507AK0040001,AK,AK,3
Basic Dental Care - Child,2014,20% Coinsurance after deductible,,20% Coinsurance after deductible,No Charge,,No Charge,,,,2013-09-02 11:39:25,Covered,Yes,No,No,,Yes,Yes,42507,42507,,,,42507AK0040001-00,,110,HIOS,42507AK0040001,AK,AK,3
Orthodontia - Child,2014,50%,,50%,No Charge,,No Charge,Above EHB,,,2013-09-02 11:39:25,Covered,,No,No,,Yes,Yes,42507,42507,,,,42507AK0040001-00,,111,HIOS,42507AK0040001,AK,AK,3
Major Dental Care - Child,2014,40% Coinsurance after deductible,,40% Coinsurance after deductible,No Charge,,No Charge,,,,2013-09-02 11:39:25,Covered,Yes,No,No,,Yes,Yes,42507,42507,,,,42507AK0040001-00,,112,HIOS,42507AK0040001,AK,AK,3
Basic Dental Care - Adult,2014,20% Coinsurance after deductible,,20% Coinsurance after deductible,No Charge,,No Charge,Above EHB,,,2013-09-02 11:39:25,Covered,,Yes,Yes,,Yes,Yes,42507,42507,,,,42507AK0040001-00,,113,HIOS,42507AK0040001,AK,AK,3
Orthodontia - Adult,2014,,,,,,,,,,2013-09-02 11:39:25,Not Covered,,,,,,,42507,42507,,,,42507AK0040001-00,,114,HIOS,42507AK0040001,AK,AK,3
Major Dental Care - Adult,2014,40% Coinsurance after deductible,,40% Coinsurance after deductible,No Charge,,No Charge,Above EHB,,,2013-09-02 11:39:25,Covered,,Yes,Yes,,Yes,Yes,42507,42507,,,,42507AK0040001-00,,115,HIOS,42507AK0040001,AK,AK,3
Accidental Dental,2014,,,,,,,,,,2013-09-02 11:39:25,,,,,,,,42507,42507,,,,42507AK0040001-00,,118,HIOS,42507AK0040001,AK,AK,3
Routine Dental Services (Adult),2014,No Charge,,No Charge,No Charge,,No Charge,Above EHB,,,2013-09-02 11:39:25,Covered,,Yes,Yes,,No,No,42507,42507,,,,42507AK0040001-01,,68,HIOS,42507AK0040001,AK,AK,3
Dental Check-Up for Children,2014,No Charge,,No Charge,No Charge,,No Charge,,,,2013-09-02 11:39:25,Covered,Yes,No,No,,No,No,42507,42507,1.0,Visit(s) per 6 Months,,42507AK0040001-01,Yes,104,HIOS,42507AK0040001,AK,AK,3
Basic Dental Care - Child,2014,20% Coinsurance after deductible,,20% Coinsurance after deductible,No Charge,,No Charge,,,,2013-09-02 11:39:25,Covered,Yes,No,No,,Yes,Yes,42507,42507,,,,42507AK0040001-01,,110,HIOS,42507AK0040001,AK,AK,3
Orthodontia - Child,2014,50%,,50%,No Charge,,No Charge,Above EHB,,,2013-09-02 11:39:25,Covered,,No,No,,Yes,Yes,42507,42507,,,,42507AK0040001-01,,111,HIOS,42507AK0040001,AK,AK,3
Major Dental Care - Child,2014,40% Coinsurance after deductible,,40% Coinsurance after deductible,No Charge,,No Charge,,,,2013-09-02 11:39:25,Covered,Yes,No,No,,Yes,Yes,42507,42507,,,,42507AK0040001-01,,112,HIOS,42507AK0040001,AK,AK,3
Basic Dental Care - Adult,2014,20% Coinsurance after deductible,,20% Coinsurance after deductible,No Charge,,No Charge,Above EHB,,,2013-09-02 11:39:25,Covered,,Yes,Yes,,Yes,Yes,42507,42507,,,,42507AK0040001-01,,113,HIOS,42507AK0040001,AK,AK,3
Orthodontia - Adult,2014,,,,,,,,,,2013-09-02 11:39:25,Not Covered,,,,,,,42507,42507,,,,42507AK0040001-01,,114,HIOS,42507AK0040001,AK,AK,3
Major Dental Care - Adult,2014,40% Coinsurance after deductible,,40% Coinsurance after deductible,No Charge,,No Charge,Above EHB,,,2013-09-02 11:39:25,Covered,,Yes,Yes,,Yes,Yes,42507,42507,,,,42507AK0040001-01,,115,HIOS,42507AK0040001,AK,AK,3
Accidental Dental,2014,,,,,,,,,,2013-09-02 11:39:25,,,,,,,,42507,42507,,,,42507AK0040001-01,,118,HIOS,42507AK0040001,AK,AK,3
Routine Dental Services (Adult),2014,20%,,20%,No Charge,,No Charge,Above EHB,,,2013-09-02 11:39:25,Covered,,Yes,Yes,,No,No,42507,42507,,,,42507AK0050001-00,,68,HIOS,42507AK0050001,AK,AK,3
Dental Check-Up for Children,2014,20%,,20%,No Charge,,No Charge,,,,2013-09-02 11:39:25,Covered,Yes,No,No,,No,No,42507,42507,1.0,Visit(s) per 6 Months,,42507AK0050001-00,Yes,104,HIOS,42507AK0050001,AK,AK,3
Basic Dental Care - Child,2014,30% Coinsurance after deductible,,30% Coinsurance after deductible,No Charge,,No Charge,,,,2013-09-02 11:39:25,Covered,Yes,No,No,,Yes,Yes,42507,42507,,,,42507AK0050001-00,,110,HIOS,42507AK0050001,AK,AK,3
Orthodontia - Child,2014,50%,,50%,No Charge,,No Charge,Above EHB,,,2013-09-02 11:39:25,Covered,,No,No,,Yes,Yes,42507,42507,,,,42507AK0050001-00,,111,HIOS,42507AK0050001,AK,AK,3
Major Dental Care - Child,2014,60% Coinsurance after deductible,,60% Coinsurance after deductible,No Charge,,No Charge,,,,2013-09-02 11:39:25,Covered,Yes,No,No,,Yes,Yes,42507,42507,,,,42507AK0050001-00,,112,HIOS,42507AK0050001,AK,AK,3
Basic Dental Care - Adult,2014,30% Coinsurance after deductible,,30% Coinsurance after deductible,No Charge,,No Charge,Above EHB,,,2013-09-02 11:39:25,Covered,,Yes,Yes,,Yes,Yes,42507,42507,,,,42507AK0050001-00,,113,HIOS,42507AK0050001,AK,AK,3
Orthodontia - Adult,2014,,,,,,,,,,2013-09-02 11:39:25,Not Covered,,,,,,,42507,42507,,,,42507AK0050001-00,,114,HIOS,42507AK0050001,AK,AK,3
Major Dental Care - Adult,2014,60% Coinsurance after deductible,,60% Coinsurance after deductible,No Charge,,No Charge,Above EHB,,,2013-09-02 11:39:25,Covered,,Yes,Yes,,Yes,Yes,42507,42507,,,,42507AK0050001-00,,115,HIOS,42507AK0050001,AK,AK,3
Accidental Dental,2014,,,,,,,,,,2013-09-02 11:39:25,,,,,,,,42507,42507,,,,42507AK0050001-00,,118,HIOS,42507AK0050001,AK,AK,3
Non-Medically Necessary Orthodontia - Child,2014,50%,,50%,No Charge,,No Charge,Above EHB,,,2013-09-02 11:39:25,Covered,,Yes,Yes,,Yes,Yes,42507,42507,1000.0,Dollars per Lifetime,,42507AK0050001-00,Yes,119,HIOS,42507AK0050001,AK,AK,3
Routine Dental Services (Adult),2014,20%,,20%,No Charge,,No Charge,Above EHB,,,2013-09-02 11:39:25,Covered,,Yes,Yes,,No,No,42507,42507,,,,42507AK0050001-01,,68,HIOS,42507AK0050001,AK,AK,3
Dental Check-Up for Children,2014,20%,,20%,No Charge,,No Charge,,,,2013-09-02 11:39:25,Covered,Yes,No,No,,No,No,42507,42507,1.0,Visit(s) per 6 Months,,42507AK0050001-01,Yes,104,HIOS,42507AK0050001,AK,AK,3
Basic Dental Care - Child,2014,30% Coinsurance after deductible,,30% Coinsurance after deductible,No Charge,,No Charge,,,,2013-09-02 11:39:25,Covered,Yes,No,No,,Yes,Yes,42507,42507,,,,42507AK0050001-01,,110,HIOS,42507AK0050001,AK,AK,3
